"trips.passengerslogid","trips.passengerid","trips.driverid","trips.pickuplatitide","trips.pickuplongitude","trips.droplatitude","trips.droplongitude","trips.actualpickuptime","trips.pickupdate","trips.pickuphour","trips.droptime","trips.dropdate","trips.drophour"
"1674","656","124","6.8881935403","79.8558704183","6.8881452000","79.8557917000","2015-06-03 12:07:33","2015-06-03","12","2015-06-03 12:08:00","2015-06-03","12"
"1680","35","22","6.9199223207","79.8474620283","6.8881295000","79.8558546000","2015-06-03 12:48:58","2015-06-03","12","2015-06-03 13:05:58","2015-06-03","13"
"1688","666","22","6.8882281573","79.8557671532","6.8880472000","79.8558370000","2015-06-03 17:23:23","2015-06-03","17","2015-06-03 18:00:11","2015-06-03","18"
"1715","35","152","6.8880743778","79.8560769483","6.8587983000","79.8693249000","2015-06-04 19:35:49","2015-06-04","19","2015-06-04 20:00:54","2015-06-04","20"
"1722","586","22","6.8879420000","79.8553810000","6.8880664000","79.8557478000","2015-06-05 11:43:10","2015-06-05","11","2015-06-05 11:51:02","2015-06-05","11"
"1724","35","126","6.8882321516","79.8557919636","6.8882337000","79.8557872000","2015-06-05 11:46:31","2015-06-05","11","2015-06-05 11:46:45","2015-06-05","11"
"1725","35","126","6.8882251616","79.8557839170","6.8881167000","79.8560324000","2015-06-05 11:51:54","2015-06-05","11","2015-06-05 11:52:01","2015-06-05","11"
"1726","586","22","6.8880750000","79.8557270000","6.8881038000","79.8557467000","2015-06-05 11:53:14","2015-06-05","11","2015-06-05 11:53:39","2015-06-05","11"
"1737","586","17","6.8880120000","79.8554260000","6.8881607000","79.8558971000","2015-06-05 16:00:42","2015-06-05","16","2015-06-05 16:10:33","2015-06-05","16"
"1741","683","31","6.9116213725","79.8649641126","6.9123870000","79.8734118000","2015-06-05 17:28:43","2015-06-05","17","2015-06-05 17:42:14","2015-06-05","17"
"1751","592","175","6.8681378692","79.8698648438","6.8679400000","79.8698116000","2015-06-06 11:19:50","2015-06-06","11","2015-06-06 11:25:30","2015-06-06","11"
"1753","592","175","6.8682490478","79.8691168427","6.8880566000","79.8558066000","2015-06-06 11:27:47","2015-06-06","11","2015-06-06 11:37:33","2015-06-06","11"
"1761","35","244","6.8905628043","79.8657489941","6.8881686000","79.8557499000","2015-06-06 12:42:16","2015-06-06","12","2015-06-06 12:42:19","2015-06-06","12"
"1763","592","100","6.8881682432","79.8557460308","6.8680509000","79.8698763000","2015-06-06 16:54:17","2015-06-06","16","2015-06-06 17:15:46","2015-06-06","17"
"1766","702","180","11.0214103777","76.9165941328","11.0213942000","76.9165905000","2015-06-06 16:53:44","2015-06-06","16","2015-06-06 16:53:50","2015-06-06","16"
"1771","702","180","11.0213962267","76.9166108966","11.0213681000","76.9166415000","2015-06-06 17:22:59","2015-06-06","17","2015-06-06 17:23:05","2015-06-06","17"
"1772","702","180","11.0214024795","76.9166420773","11.0160769000","76.9210355000","2015-06-06 17:35:29","2015-06-06","17","2015-06-06 17:41:33","2015-06-06","17"
"1773","702","180","11.0165246339","76.9205269217","11.0172366000","76.9193405000","2015-06-06 17:51:46","2015-06-06","17","2015-06-06 17:54:14","2015-06-06","17"
"1774","702","180","11.0175886048","76.9191841409","11.0215917000","76.9163794000","2015-06-06 17:54:56","2015-06-06","17","2015-06-06 18:04:24","2015-06-06","18"
"1775","703","180","11.0214001758","76.9166048616","11.0214879000","76.9166277000","2015-06-06 18:30:33","2015-06-06","18","2015-06-06 18:30:43","2015-06-06","18"
"1776","703","180","11.0216134275","76.9166226313","11.0213944000","76.9166093000","2015-06-06 18:32:32","2015-06-06","18","2015-06-06 18:32:42","2015-06-06","18"
"1777","703","179","11.0213863540","76.9166518003","11.0214074000","76.9166203000","2015-06-06 18:54:06","2015-06-06","18","2015-06-06 18:54:33","2015-06-06","18"
"1778","703","181","11.0213982013","76.9166521356","11.0213901000","76.9166025000","2015-06-06 18:59:23","2015-06-06","18","2015-06-06 18:59:37","2015-06-06","18"
"1779","703","179","11.0213962267","76.9165860862","11.0214009000","76.9166163000","2015-06-06 19:01:28","2015-06-06","19","2015-06-06 19:01:41","2015-06-06","19"
"1780","703","181","11.0213922776","76.9166018441","11.0214024000","76.9166231000","2015-06-06 19:13:36","2015-06-06","19","2015-06-06 19:13:43","2015-06-06","19"
"1784","703","181","11.0214074159","76.9166018441","11.0215988000","76.9164406000","2015-06-06 19:26:44","2015-06-06","19","2015-06-06 19:27:06","2015-06-06","19"
"1785","703","179","11.0213860249","76.9166149199","11.0215527000","76.9164222000","2015-06-06 19:40:32","2015-06-06","19","2015-06-06 19:40:44","2015-06-06","19"
"1792","590","33","6.7572380000","79.8995570000","6.7504933000","79.9037409000","2015-06-07 16:15:02","2015-06-07","16","2015-06-07 16:15:09","2015-06-07","16"
"1794","605","33","6.7507294707","79.9040251225","6.7503545000","79.9038553000","2015-06-07 16:17:51","2015-06-07","16","2015-06-07 16:18:09","2015-06-07","16"
"1795","590","33","6.7557959694","79.8988880217","6.7504071000","79.9038085000","2015-06-07 16:19:19","2015-06-07","16","2015-06-07 16:19:41","2015-06-07","16"
"1796","592","138","6.8680493257","79.8698631674","6.8600782000","79.9063411000","2015-06-07 16:36:04","2015-06-07","16","2015-06-07 16:36:09","2015-06-07","16"
