PICKUPLAT,PICKUPLONG,DROPOFFLAT,DROPOFFLONG
53.521699,-113.459299,53.52456,-113.527233
53.520365,-113.527807,53.540067,-113.513031
53.492131,-113.455852,53.507048,-113.478136
53.540067,-113.513031,53.544557,-113.476288
53.503026,-113.454749,53.559537,-113.497126
53.559537,-113.497126,53.503026,-113.454749
53.443217,-113.555241,53.636376,-113.375209
53.530603,-113.617797,53.455086,-113.564873
53.603387,-113.536959,53.516036,-113.636024
53.599117,-113.545706,53.559704,-113.548211
53.440126,-113.455404,53.475072,-113.463151
53.556687,-113.385318,53.568006,-113.41151
53.457578,-113.4614,53.520365,-113.527807
53.520365,-113.527807,53.457578,-113.4614
53.518865,-113.51445,53.557503,-113.494283
53.557503,-113.494283,53.518865,-113.51445
53.443217,-113.555241,53.454393,-113.434662
53.558491,-113.476037,53.3958,-113.393519
53.576901,-113.467829,53.502544,-113.358259
53.45326,-113.418324,53.458255,-113.368987
53.543385,-113.50047,53.463352,-113.499693
53.496299,-113.623331,53.496047,-113.649223
53.573091,-113.709986,53.520591,-113.625025
53.460158,-113.511942,53.489643,-113.455245
53.489643,-113.455245,53.460158,-113.511942
53.559537,-113.497126,53.480428,-113.506739
53.544796,-113.531957,53.586996,-113.543722
53.554254,-113.621927,53.516502,-113.565293
53.516036,-113.636024,53.603387,-113.536959
53.518757,-113.484235,53.545235,-113.478796
53.591161,-113.542726,53.558491,-113.476037
53.545353,-113.529249,53.626726,-113.487021
53.483935,-113.384012,53.60241,-113.444562
53.601774,-113.554592,53.516878,-113.526321
53.516878,-113.526321,53.601774,-113.554592
53.579578,-113.579498,53.518398,-113.514455
53.596435,-113.409196,53.605339,-113.484676
53.605339,-113.484676,53.596435,-113.409196
53.600262,-113.440756,53.598107,-113.387099
53.43994,-113.505597,53.459793,-113.506059
53.43994,-113.505597,53.459793,-113.506059
53.545353,-113.529249,53.610036,-113.595026
53.551618,-113.509895,53.484727,-113.534697
53.607994,-113.451146,53.520591,-113.625025
53.520591,-113.625025,53.607994,-113.451146
53.560759,-113.563958,53.567972,-113.404688
53.552544,-113.473956,53.543357,-113.533631
53.543357,-113.533631,53.552544,-113.473956
53.584948,-113.495973,53.528374,-113.441738
53.528374,-113.441738,53.584948,-113.495973
53.528374,-113.441738,53.584948,-113.495973
53.531258,-113.616505,53.520591,-113.625025
53.520591,-113.625025,53.531258,-113.616505
53.494886,-113.434734,53.467504,-113.396473
53.552595,-113.522514,53.520365,-113.527807
53.451896,-113.500116,53.548709,-113.535883
53.52456,-113.527233,53.552828,-113.637738
53.468697,-113.370513,53.560171,-113.54912
53.540208,-113.508139,53.547126,-113.518667
53.547126,-113.518667,53.540208,-113.508139
53.564862,-113.492278,53.598611,-113.489758
53.544557,-113.476288,53.594372,-113.406384
53.598611,-113.489758,53.564862,-113.492278
53.449549,-113.414864,53.461554,-113.433146
53.461554,-113.433146,53.449549,-113.414864
53.625725,-113.415994,53.589718,-113.540128
53.536497,-113.607664,53.520591,-113.625025
53.520591,-113.625025,53.536497,-113.607664
53.6016,-113.400776,53.508832,-113.6201
53.52618,-113.442387,53.47045,-113.591692
53.587407,-113.444728,53.60241,-113.444562
53.538633,-113.604693,53.526421,-113.506222
53.516502,-113.565293,53.554254,-113.621927
53.554254,-113.621927,53.516502,-113.565293
53.482044,-113.497731,53.491031,-113.515371
53.496796,-113.493682,53.554196,-113.485857
53.600367,-113.41044,53.605339,-113.484676
53.539899,-113.507089,53.47636,-113.442167
53.605339,-113.484676,53.600367,-113.41044
53.520488,-113.467085,53.504991,-113.618898
53.504991,-113.618898,53.520488,-113.467085
53.571284,-113.533626,53.558491,-113.476037
53.558491,-113.476037,53.571284,-113.533626
53.571284,-113.533626,53.558491,-113.476037
53.517728,-113.441724,53.558536,-113.498072
53.601361,-113.417076,53.60241,-113.444562
53.560759,-113.563958,53.567972,-113.404688
53.547314,-113.596263,53.521699,-113.459299
53.521699,-113.459299,53.547314,-113.596263
53.560759,-113.563958,53.567972,-113.404688
53.545353,-113.529249,53.542137,-113.488144
